dataset,angle_deg,thickness_um,rmse,affine_scale,affine_offset
SiC_10deg,10.0,7.59,0.002945896790185701,0.9931170905596145,-0.0033473250805957366
SiC_15deg,15.0,7.59,0.00458736940819577,1.0187671131805474,1.0682372613562974e-05
joint,,7.59,0.0037666330991907356,,
SiC_10deg,10.0,7.595,0.0030523251131059385,0.9896287771115656,-0.0027185091335715506
SiC_15deg,15.0,7.595,0.004677930153176313,1.0142644339539622,0.0008234918883091025
joint,,7.595,0.003865127633141126,,
SiC_10deg,10.0,7.6,0.0031581497233632004,0.9859396193039417,-0.0020533798779909795
SiC_15deg,15.0,7.6,0.004767199418892455,1.0096557295682131,0.00165545625033503
joint,,7.6,0.0039626745711278276,,
SiC_10deg,10.0,7.605,0.0032632384694659387,0.9820555358340526,-0.00135300469068253
SiC_15deg,15.0,7.605,0.00485511352429199,1.004948179894467,0.002505276916031446
joint,,7.605,0.004059175996878965,,
SiC_10deg,10.0,7.61,0.0033674710376293427,0.9779828737379439,-0.0006185280690989003
SiC_15deg,15.0,7.61,0.004941613973114728,1.0001491604581287,0.0033716203317704085
joint,,7.61,0.004154542505372035,,
SiC_10deg,10.0,7.615,0.0034707374905054394,0.9737283969462543,0.00014883041231289473
SiC_15deg,15.0,7.615,0.005026647137275417,0.9952662290095938,0.004253120349224843
joint,,7.615,0.0042486923138904285,,
SiC_10deg,10.0,7.62,0.00357293707530113,0.9692992727089056,0.0009477785287743401
SiC_15deg,15.0,7.62,0.0051101639733395635,0.9903071111829258,0.00514838080431862
joint,,7.62,0.004341550524320347,,
SiC_10deg,10.0,7.625,0.003673977248995177,0.9647030558734809,0.0017769542179294495
SiC_15deg,15.0,7.625,0.005192119767662838,0.9852796852186161,0.00605597826339932
joint,,7.625,0.0044330485083290076,,
SiC_10deg,10.0,7.63,0.003773772878685504,0.9599476710279872,0.0026349287770942587
SiC_15deg,15.0,7.63,0.00527247390631778,0.9801919657381181,0.006974464939103753
joint,,7.63,0.004523123392501642,,
SiC_10deg,10.0,7.635,0.003872245583299413,0.9550413925455056,0.003520210438573257
SiC_15deg,15.0,7.635,0.005351189666413495,0.9750520865708383,0.007902371776051853
joint,,7.635,0.004611717624856454,,
SiC_10deg,10.0,7.64,0.003969323189414447,0.9499928225956127,0.004431248311674241
SiC_15deg,15.0,7.64,0.005428234025833666,0.9698682826485515,0.008838211703926374
joint,,7.64,0.004698778607624056,,
SiC_10deg,10.0,7.645,0.004064939279121025,0.9448108672146356,0.005366436675142139
SiC_15deg,15.0,7.645,0.00550357748878467,0.9646488709973479,0.009780483052766908
joint,,7.645,0.004784258383952847,,
SiC_10deg,10.0,7.65,0.004159032811992871,0.9395047105533673,0.00632411959892909
SiC_15deg,15.0,7.65,0.005577193924865984,0.9594022308729718,0.01072767312245601
joint,,7.65,0.004868113368429428,,
SiC_10deg,10.0,7.655,0.004251547806542301,0.9340837874461542,0.007302595869640577
SiC_15deg,15.0,7.655,0.00564906041965703,0.9541367831013425,0.01167826189549448
joint,,7.655,0.004950304113099666,,
SiC_10deg,10.0,7.66,0.004342433069202082,0.9285577544686857,0.008300124189751623
SiC_15deg,15.0,7.66,0.005719157135064056,0.9488609687017306,0.012630725879319266
joint,,7.66,0.005030795102133069,,
SiC_10deg,10.0,7.665,0.004431641961030281,0.9229364596730261,0.00931492861683686
SiC_15deg,15.0,7.665,0.005787467177892058,0.9435832268852719,0.01358354206165871
joint,,7.665,0.00510955456946117,,
SiC_10deg,10.0,7.67,0.004519132194089845,0.9172299112067588,0.010345204205724018
SiC_15deg,15.0,7.67,0.005853976475305709,0.9383119725356581,0.014535191959844762
joint,,7.67,0.005186554334697778,,
SiC_10deg,10.0,7.675,0.0046048656508918566,0.9114482450384132,0.011389122813689562
SiC_15deg,15.0,7.675,0.0059186736560222315,0.9330555732917964,0.015484165742645967
joint,,7.675,0.005261769653457044,,
SiC_10deg,10.0,7.68,0.004688808221477893,0.905601692023143,0.012444839026653137
SiC_15deg,15.0,7.68,0.005981549936241176,0.9278223263635605,0.01642896640111402
joint,,7.68,0.005335179078859534,,
SiC_10deg,10.0,7.685,0.004770929653702376,0.8997005445508262,0.013510496162816021
SiC_15deg,15.0,7.685,0.006042599009464473,0.9226204352212052,0.01736811394320864
joint,,7.685,0.0054067643315834244,,
SiC_10deg,10.0,7.69,0.004851203413100097,0.8937551230231989,0.014584232309350159
SiC_15deg,15.0,7.69,0.006101816939494785,0.9174579863064417,0.018300149585597225
joint,,7.69,0.005476510176297441,,
SiC_10deg,10.0,7.695,0.004929606549417895,0.8877757424072893,0.015664186347591424
SiC_15deg,15.0,7.695,0.0061592020560243006,0.9123429259183143,0.019223639915071006
joint,,7.695,0.0055444043027210975,,
SiC_10deg,10.0,7.7,0.005006119567476746,0.8817726791093482,0.016748503922710906
SiC_15deg,15.0,7.7,0.006214754852339509,0.907283037429821,0.02013718099148598
joint,,7.7,0.005610437209908128,,
