dataset,material,angle_deg,kind,window,min_spacing_cm,region_min_cm,region_max_cm,n_extrema,interval_mean_um,interval_std_um,interval_count,fod_d_um,fod_r2,fod_rss
SiC_15deg,SiC,15.0,trough,61,200.0,1000.0,4000.0,11,7.28085156846677,1.0063990592465821,10,7.263706998104499,0.996428178015724,0.39290041827035216
SiC_15deg,SiC,15.0,peak,61,200.0,1200.0,4000.0,11,7.886554387064026,0.7635521183323862,10,7.707015018045535,0.999559325990387,0.04847414105742472
SiC_15deg,SiC,15.0,trough,61,200.0,1200.0,4000.0,10,7.223269670029513,1.0450932925946312,9,7.336441178087676,0.9964739608922296,0.29089822639105817
SiC_15deg,SiC,15.0,peak,61,200.0,1500.0,3500.0,8,7.672629533496467,0.562449129223059,7,7.615005264279153,0.9997052851642836,0.012378023100089378
SiC_15deg,SiC,15.0,trough,61,200.0,1500.0,3500.0,7,7.657270812049056,0.23636029466846972,6,7.579530278441223,0.9998025861809462,0.005527586933505787
SiC_15deg,SiC,15.0,peak,61,200.0,1700.0,3000.0,5,7.7237120993739605,0.7297383868380638,4,7.667604868406698,0.9987708932926276,0.012291067073723953
SiC_15deg,SiC,15.0,trough,61,200.0,1700.0,3000.0,5,7.71808697395767,0.2666441919358948,4,7.629824177753992,0.9996030394421606,0.003969605578394852
SiC_15deg,SiC,15.0,peak,61,240.0,1000.0,4000.0,11,7.406518238074251,0.8299712733950292,10,7.541665675537426,0.9983111145724121,0.1857773970346687
SiC_15deg,SiC,15.0,trough,61,240.0,1000.0,4000.0,10,6.766872365756312,1.4062145989437103,9,6.646852774532813,0.9820486380665568,1.4809873595090592
SiC_15deg,SiC,15.0,peak,61,240.0,1200.0,4000.0,11,7.406518238074251,0.8299712733950292,10,7.541665675537426,0.9983111145724121,0.1857773970346687
SiC_15deg,SiC,15.0,trough,61,240.0,1200.0,4000.0,9,6.637845329675591,1.440412319861831,8,6.774820172941388,0.979185590476308,1.2488645714215179
SiC_15deg,SiC,15.0,peak,61,240.0,1500.0,3500.0,8,7.6352801660604195,0.17078347114038675,7,7.585329961480687,0.9998717111748157,0.0053881306577433005
SiC_15deg,SiC,15.0,trough,61,240.0,1500.0,3500.0,6,6.807392095886689,1.422017078766465,5,6.903553955960124,0.9788217815462521,0.3706188229405878
SiC_15deg,SiC,15.0,peak,61,240.0,1700.0,3000.0,5,7.658350706360876,0.18653769828181135,4,7.59951793949481,0.9998197689385424,0.0018023106145762405
SiC_15deg,SiC,15.0,trough,61,240.0,1700.0,3000.0,4,6.32189450098993,1.666976917979374,3,6.2066840069039575,0.9609137399669455,0.1954313001652724
SiC_15deg,SiC,15.0,peak,61,280.0,1000.0,4000.0,7,4.555239242639128,1.044229963113362,6,4.243585420091833,0.9940345387672233,0.16703291451774777
SiC_15deg,SiC,15.0,trough,61,280.0,1000.0,4000.0,7,4.233335010566248,0.6872088599548934,6,4.163694941677175,0.9960230303498712,0.11135515020360817
SiC_15deg,SiC,15.0,peak,61,280.0,1200.0,4000.0,7,4.555239242639128,1.044229963113362,6,4.243585420091833,0.9940345387672233,0.16703291451774777
SiC_15deg,SiC,15.0,trough,61,280.0,1200.0,4000.0,6,3.9031533737058055,0.24906387713455108,5,3.813364019028203,0.9989238822701186,0.018832060272923255
