scenario,dataset,angle_deg,thickness_um,weighted_rmse,affine_scale,affine_offset,effective_points,point_weight_sum
frequency_downweighted,joint,,7.27,0.004432985858442879,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.275,0.004645361253409437,0.8455203297233522,0.023623849462649144,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.275,0.003926482412560149,1.0013528906690474,0.0041709663174727685,865,415.2
frequency_downweighted,joint,,7.275,0.004362523676681848,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.28,0.0045766384869845135,0.8494448163083564,0.02291169428360426,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.28,0.0038498790776177057,1.0058305112818418,0.0033481872952961234,865,415.2
frequency_downweighted,joint,,7.28,0.004290700358709048,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.285,0.004506386115834511,0.8534068712023283,0.02219269294284687,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.285,0.0037722400826016586,1.01028932154749,0.0025287042830428874,865,415.2
frequency_downweighted,joint,,7.285,0.004217541774890437,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.29,0.004434607812134177,0.8574037016542235,0.021467357842474943,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.29,0.0036936355969765526,1.014724630232454,0.0017133871431537773,865,415.2
frequency_downweighted,joint,,7.29,0.004143077760268882,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.295,0.004361309581301712,0.8614323449714689,0.020736232056830145,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.295,0.003614143276055386,1.0191316954524707,0.000903115371703761,865,415.2
frequency_downweighted,joint,,7.295,0.004067342510385125,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.3,0.004286499945526362,0.8654896662591396,0.01999988971040395,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.3,0.0035338491000503074,1.0235057168111144,9.877948200798237e-05,865,415.2
frequency_downweighted,joint,,7.3,0.003990375022716111,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.305,0.004210190140735829,0.869572357061236,0.019258936192686482,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.305,0.0034528483225346805,1.027841828054366,-0.0006987177078114359,865,415.2
frequency_downweighted,joint,,7.305,0.003912219589312427,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.31,0.004132394328911777,0.873676934956061,0.018514008200652576,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.31,0.0033712465412686315,1.0321350904805298,-0.0014884599267921406,865,415.2
frequency_downweighted,joint,,7.31,0.003832926346888244,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.315,0.00405312982813134,0.877799744149674,0.017765773601038315,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.315,0.0032891609052964218,1.0363804873359768,-0.0022695164845066007,865,415.2
frequency_downweighted,joint,,7.315,0.0037525518912782576,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.32,0.003972417363291453,0.8819369571027057,0.017014931106138775,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.32,0.0032067214728258788,1.040572919414854,-0.003040941525466717,865,415.2
frequency_downweighted,joint,,7.32,0.003671159963764014,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.325,0.0038902813411845222,0.8860845772165624,0.01626220975853737,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.325,0.0031240727343595158,1.0447072020652033,-0.003801773541307396,865,415.2
frequency_downweighted,joint,,7.325,0.0035888222171877983,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.33,0.003806750154471846,0.890238442595234,0.015508368221958752,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.33,0.0030413753144380054,1.048778063785131,-0.004551035174063162,865,415.2
frequency_downweighted,joint,,7.33,0.003505619069868368,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.335,0.0037218565201818914,0.8943942308887389,0.014754193877286687,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.335,0.002958807862562113,1.0527801465709892,-0.005287733339886719,865,415.2
frequency_downweighted,joint,,7.335,0.0034216406548888637,,,1730,1055.3
