dataset,angle_deg,contrast_delta_n,thickness_um,affine_rmse,affine_scale,affine_offset
SiC_10deg,10.0,0.0,7.44,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.46,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.48,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.5,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.5200000000000005,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.54,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.5600000000000005,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.58,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.6000000000000005,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.62,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.64,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.66,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.68,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.7,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.72,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.74,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.76,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.78,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.8,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.82,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.84,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.86,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.88,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.9,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.92,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.94,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.96,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,7.98,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.0,8.0,0.004056916762450546,1.5019208546271414,-0.21298437906416537
SiC_10deg,10.0,0.05,3.0,0.006266169603915006,1.0106000674382816,-0.08576670689968593
SiC_10deg,10.0,0.05,3.02,0.006300825194870093,1.015678655089889,-0.08703678881441532
SiC_10deg,10.0,0.05,3.04,0.006330227007678244,1.0207743948732781,-0.0883140294342097
SiC_10deg,10.0,0.05,3.06,0.006349254902050387,1.0264089335119981,-0.08973850939803979
SiC_10deg,10.0,0.05,3.08,0.0063554165822544625,1.032418263310384,-0.09127156733419547
SiC_10deg,10.0,0.05,3.1,0.006349194399005209,1.0378813016534845,-0.09267701121932659
SiC_10deg,10.0,0.05,3.12,0.0063334075964955345,1.0414313618324114,-0.09360159635858865
SiC_10deg,10.0,0.05,3.14,0.006311812392191415,1.0418528163008425,-0.0937294745161999
SiC_10deg,10.0,0.05,3.16,0.006287490586035664,1.0386853706839767,-0.09293883869705256
SiC_10deg,10.0,0.05,3.18,0.006261769251075491,1.0325100029997167,-0.09137641471653671
SiC_10deg,10.0,0.05,3.2,0.006234167995650316,1.0247673142284766,-0.08941102926154253
SiC_10deg,10.0,0.05,3.22,0.006203271831013151,1.0172404730051858,-0.08750025030521165
SiC_10deg,10.0,0.05,3.24,0.006167969569979089,1.011485688307332,-0.0860432090182417
SiC_10deg,10.0,0.05,3.26,0.006128483679351041,1.008433003120157,-0.08527732050173727
SiC_10deg,10.0,0.05,3.2800000000000002,0.006086870356015246,1.0082320377115652,-0.08523838126816642
SiC_10deg,10.0,0.05,3.3,0.006046883876439812,1.010317555594736,-0.08577769455016966
SiC_10deg,10.0,0.05,3.32,0.006013203279233385,1.0136427659601348,-0.08662280069727284
SiC_10deg,10.0,0.05,3.34,0.005990139444594497,1.0170233596414662,-0.08746697933761417
