dataset,angle_deg,thickness_um,affine_rmse,affine_scale,affine_offset
SiC_10deg,10.0,4.8,0.005175010059122052,0.9017339294789861,0.01280178482756374
SiC_10deg,10.0,4.82,0.005150061063049243,0.905204648519708,0.012160752513672244
SiC_10deg,10.0,4.84,0.005127452852505807,0.9079280032280584,0.011659428077904304
SiC_10deg,10.0,4.86,0.005107681320143436,0.9099003277296369,0.011298815426626516
SiC_10deg,10.0,4.88,0.005091186311380258,0.9111101014197365,0.011081146564561188
SiC_10deg,10.0,4.9,0.005078291519615767,0.9115448087575008,0.0110086271471069
SiC_10deg,10.0,4.92,0.00506914705044969,0.9111991618180292,0.011081947945984069
SiC_10deg,10.0,4.9399999999999995,0.005063690685139747,0.9100821111927628,0.011299029969609641
SiC_10deg,10.0,4.96,0.005061640415191234,0.9082205454706489,0.011654383508722105
SiC_10deg,10.0,4.98,0.005062523387803514,0.9056586318222539,0.012139268807053011
SiC_10deg,10.0,5.0,0.005065737191295676,0.9024530741929013,0.01274260442666373
SiC_10deg,10.0,5.02,0.005070631317712463,0.8986657668413986,0.013452350726296495
SiC_10deg,10.0,5.04,0.005076592117338142,0.8943560428274322,0.01425696507477036
SiC_10deg,10.0,5.0600000000000005,0.005083114697872821,0.8895747590453034,0.01514651866447071
SiC_10deg,10.0,5.08,0.005089849533950192,0.8843618360670125,0.016113178999487502
SiC_10deg,10.0,5.1,0.005096618426658935,0.8787477940076834,0.017150958485911038
SiC_10deg,10.0,5.12,0.005103401858233507,0.8727586274770981,0.018254847490309322
SiC_10deg,10.0,5.140000000000001,0.00511030586900026,0.866422396060204,0.01941962585583055
SiC_10deg,10.0,5.16,0.005117520008714135,0.8597754455195589,0.020638730757968127
SiC_10deg,10.0,5.18,0.005125278062276656,0.8528663370026529,0.021903529806998136
SiC_10deg,10.0,5.2,0.005133830323628432,0.8457562737527912,0.023203219838935474
SiC_10deg,10.0,5.220000000000001,0.005143431193438382,0.8385158376934584,0.024525387196219547
SiC_10deg,10.0,5.24,0.005154340346448863,0.8312188612276867,0.025857082365663527
SiC_10deg,10.0,5.26,0.005166831253445081,0.8239349752912513,0.027186132492386137
SiC_10deg,10.0,5.28,0.005181198606077131,0.8167226312937379,0.028502368772581024
SiC_10deg,10.0,5.300000000000001,0.0051977565926327185,0.8096241868301989,0.029798483065793444
SiC_10deg,10.0,5.32,0.005216822688374694,0.8026640911325518,0.0310703279977775
SiC_10deg,10.0,5.34,0.005238685826576722,0.7958504814581843,0.03231660572128222
SiC_10deg,10.0,5.359999999999999,0.0052635624383822015,0.7891797781664419,0.03353802121412987
SiC_10deg,10.0,5.38,0.005291547790733738,0.7826432808410139,0.03473608169665083
